iteration,system,target_emotion,control_params,judged_V,judged_A,judged_D,judge_family,judge_confidence,distance_to_target,accepted
32,chatterbox,joy,"ref=joy,exagg=0.5",0.026,0.473,0.2,joy,0.6,0.294,1
33,chatterbox,joy,"ref=joy,exagg=0.9",-0.097,0.657,0.445,fear,0.8,0.478,0
34,chatterbox,sadness,"ref=sadness,exagg=0.5",-0.063,0.33,0.068,neutral,1.0,0.264,0
35,chatterbox,sadness,"ref=sadness,exagg=0.9",-0.097,0.499,0.298,neutral,1.0,0.425,0
36,chatterbox,anger,"ref=anger,exagg=0.7",-0.406,0.859,0.708,fear,0.83,0.338,0
37,elevenlabs,neutral,"eleven_v3 tags (v2+style fallback), voice=Rachel",-0.102,0.54,0.3,neutral,1.0,0.291,1
38,elevenlabs,sadness,"eleven_v3 tags (v2+style fallback), voice=Rachel",-0.021,0.484,0.214,neutral,1.0,0.395,0
39,elevenlabs,joy,"eleven_v3 tags (v2+style fallback), voice=Rachel",-0.099,0.613,0.419,anger,0.6,0.462,0
40,elevenlabs,anger,"eleven_v3 tags (v2+style fallback), voice=Rachel",-0.173,0.682,0.499,anger,0.6,0.263,1
41,hume-octave,neutral,octave acting description,-0.077,0.519,0.357,neutral,1.0,0.336,1
42,hume-octave,sadness,octave acting description,-0.25,0.307,0.044,neutral,1.0,0.145,0
43,hume-octave,joy,octave acting description,-0.16,0.601,0.417,neutral,1.0,0.513,0
44,hume-octave,anger,octave acting description,-0.144,0.646,0.422,neutral,0.8,0.282,0
45,openai-tts,neutral,"gpt-4o-mini-tts, voice=alloy, instructions",-0.044,0.413,0.204,neutral,1.0,0.178,1
46,openai-tts,sadness,"gpt-4o-mini-tts, voice=alloy, instructions",-0.142,0.265,-0.001,neutral,1.0,0.199,0
47,openai-tts,joy,"gpt-4o-mini-tts, voice=alloy, instructions",-0.11,0.436,0.257,neutral,1.0,0.44,0
48,openai-tts,anger,"gpt-4o-mini-tts, voice=alloy, instructions",-0.134,0.427,0.231,neutral,1.0,0.434,0
49,elevenlabs-fair,sadness,v3;tags=[sad];stab=0.0;voice=charlie,-0.016,0.422,0.249,neutral,1.0,0.416,0
50,elevenlabs-fair,sadness,v3;tags=[crying];stab=0.0;voice=charlie,-0.129,0.464,0.245,neutral,1.0,0.357,0
51,elevenlabs-fair,sadness,v3;tags=[sad][sighs];stab=0.5;voice=charlie,0.071,0.352,0.129,neutral,1.0,0.405,0
52,elevenlabs-fair,joy,v3;tags=[happily];stab=0.0;voice=charlie,0.059,0.502,0.327,neutral,1.0,0.288,0
53,elevenlabs-fair,joy,v3;tags=[laughs];stab=0.0;voice=charlie,0.517,0.647,0.349,joy,0.8,0.277,1
54,elevenlabs-fair,joy,v3;tags=[excited];stab=0.5;voice=charlie,-0.097,0.553,0.393,neutral,0.8,0.446,0
55,elevenlabs-fair,anger,v3;tags=[angry];stab=0.0;voice=charlie,-0.072,0.606,0.486,neutral,1.0,0.369,0
56,elevenlabs-fair,anger,v3;tags=[angry];stab=0.0;voice=harry,-0.462,0.868,0.792,anger,0.6,0.419,1
57,elevenlabs-fair,anger,v3;tags=[angry];stab=0.0;voice=laura,-0.052,0.655,0.494,anger,0.59,0.38,1
58,hume-octave-fair,sadness,"octave;desc=quietly devastated, voice breaking, holding back tears, slow",-0.212,0.19,-0.178,neutral,1.0,0.237,0
59,hume-octave-fair,sadness,"octave;desc=grieving at a funeral, hollow and drained, almost whispering",-0.119,0.347,0.057,neutral,1.0,0.21,0
60,hume-octave-fair,sadness,"octave;desc=heartbroken, trembling voice, long heavy pauses",-0.203,0.457,0.224,neutral,1.0,0.311,0
61,hume-octave-fair,joy,"octave;desc=genuinely delighted, warm bright smile in the voice, light",-0.142,0.661,0.427,neutral,1.0,0.508,0
